date,close,base_position_v3,market_regime,ret1,ret3,ret5,ret10,ret20,dist_ma20,dist_ma50,dist_ma200,ma50_over_ma200,ma200_slope20,volume_ratio60,breakout20,breakout60,breakdown20,breakdown60,below200,dist_res20,dist_sup20,dist_sup60,future20_return,future20_drawdown,adjustment_label,component_b20_vol_count,component_b60_vol_count,component_vol_down_count,component_bd20_vol_count,weighted_b20_vol,weighted_b60_vol,weighted_vol_down,weighted_bd20_vol,component_above200_breadth,avg_component_vr,regime_bull,regime_range,regime_bear,signal_date,horizon_1d_close_return,horizon_3d_close_return,horizon_5d_close_return,horizon_1d_max_drawdown,horizon_3d_max_drawdown,horizon_5d_max_drawdown,next_signal_primary_adjustment,next_signal_secondary_adjustment,signal_direction,action_type,rating_state,signal_family,sample_source,sample_id,is_replay_outcome_observed,candidate_event_type,candidate_action_label,candidate_stood_1d,candidate_stood_3d,candidate_stood_5d,candidate_future_10d_return,downside_event_type,downside_label,downside_suggested_action,downside_weighted_volume_down_breadth,downside_weighted_breakdown20_breadth,execution_date,market_symbol,etf_symbol,train_policy,primary_model_id,secondary_model_id,primary_adjustment,secondary_adjustment,primary_prob_down,secondary_prob_down,target_position_proxy,planned_action,planned_target_shares,planned_trade_shares,holdings_before_shares,cash_before_cny,cost_price_cny,market_price_cny,position_before_pct,signal_rationale,rating_change_reason,rating_change_review,guidance_for_next_session,execution_status,executed_date,executed_sell_shares,executed_buy_shares,executed_avg_price_cny,holdings_after_shares,cash_after_cny,position_after_pct,review_status,review_horizon,review_price_change_pct,review_note,source_artifacts,created_at,updated_at,replay_label_1d,replay_label_3d,replay_label_5d,continuation_label_version,continuation_label_1d,is_outcome_observed_1d,continuation_label_3d,is_outcome_observed_3d,continuation_label_5d,is_outcome_observed_5d,is_continuation_eligible,source_sample_id,is_real_failure_event,mined_action_direction,mined_failure_reason,failure_label_horizon
2018-03-27,21317.3203125,0.34015,bull,0.02654426,-0.01272092,-0.00761514,-0.02321794,-0.0377505,-0.01069478,-0.04333544,0.00051294,0.04583465,0.0084893,1.21379365,0.0,0.0,0.0,0.0,0.0,-0.05264989,0.04766338,0.04766338,0.04507128,-0.02535497,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.66399308,1.25118015,1.0,0.0,0.0,2018-03-27,-0.0134167785362915,0.0064257827316915,-0.0011742212263575,-0.0134167785362915,-0.0134167785362915,-0.0134167785362915,1.0,1.0,add,add_risk,risk_add,real_failure_add,real_failure_event_mining,historical_55_2018-03-27_failure_add,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,premature_add,acceptable_add,acceptable_add,nikkei_continuation_head_v1,0.0,True,1.0,True,1.0,True,True,historical_55_2018-03-27,True,add,prototype_add_failure,1d
2018-12-28,20014.76953125,0.189215,bear,-0.00313033,0.04484448,-0.01852686,-0.08257262,-0.10096889,-0.0563852,-0.07566305,-0.1006378,-0.02701909,-0.00190473,0.891583,0.0,0.0,0.0,0.0,1.0,-0.11824505,0.05626751,0.05626751,0.03865251,-0.03864148,1.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0324227,0.0,0.21584404,0.92187967,0.0,0.0,1.0,2018-12-28,-0.0226237225986044,0.0094564931639349,0.007446063756433,-0.0226237225986044,-0.0226237225986044,-0.0226237225986044,1.0,1.0,add,add_risk,risk_add,real_failure_add,real_failure_event_mining,historical_55_2018-12-28_failure_add,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,premature_add,acceptable_add,acceptable_add,nikkei_continuation_head_v1,0.0,True,1.0,True,1.0,True,True,historical_55_2018-12-28,True,add,prototype_add_failure,1d
2019-08-14,20655.13085938,0.741536,range,0.00976226,0.00300006,0.00339175,-0.04855887,-0.04086877,-0.0273328,-0.02794713,-0.03272387,-0.00491407,-0.01088197,0.99808795,0.0,0.0,0.0,0.0,1.0,-0.05351857,0.02706865,0.02706865,0.04563655,-0.02330516,1.0,1.0,1.0,0.0,0.0,0.01127916,0.01127916,0.0,0.0,0.79860431,0.96538488,0.0,1.0,0.0,2019-08-14,-0.0120783775449527,-0.0044526807288772,-0.0017700467321607,-0.0120783775449527,-0.0120783775449527,-0.0120783775449527,1.0,1.0,add,add_risk,risk_add,real_failure_add,real_failure_event_mining,historical_55_2019-08-14_failure_add,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,premature_add,acceptable_add,acceptable_add,nikkei_continuation_head_v1,0.0,True,1.0,True,1.0,True,True,historical_55_2019-08-14,True,add,prototype_add_failure,1d
2019-08-23,20710.91015625,0.742053,range,0.00401883,0.0016293,0.01430542,0.00570867,-0.04806096,-0.01002505,-0.02382776,-0.02703368,-0.00328418,-0.01105796,0.8484409,0.0,0.0,0.0,0.0,1.0,-0.05096259,0.02984225,0.02984225,0.06701442,-0.02593562,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.01510409,0.0,0.69170973,0.75587311,0.0,1.0,0.0,2019-08-23,-0.0217214545549192,-0.0111772120405893,-0.0003158246344874,-0.0217214545549192,-0.0217214545549192,-0.0217214545549192,1.0,1.0,add,add_risk,risk_add,real_failure_add,real_failure_event_mining,historical_55_2019-08-23_failure_add,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,premature_add,premature_add,acceptable_add,nikkei_continuation_head_v1,0.0,True,0.0,True,1.0,True,True,historical_55_2019-08-23,True,add,prototype_add_failure,1d
2019-10-02,21778.609375,0.751557,range,-0.00487227,-0.00458391,-0.01096909,-0.01012262,0.05617892,0.00824804,0.02757523,0.02625039,-0.00128929,-0.0016384,0.99411072,0.0,0.0,0.0,0.0,0.0,-0.02143065,0.05957184,0.0829332,0.04922996,-0.02307767,1.0,0.0,0.0,2.0,0.0,0.0,0.0,0.09868444,0.0,0.83123672,0.92416319,0.0,1.0,0.0,2019-10-02,-0.0200595516957795,-0.0185208967227734,-0.014795642369613,-0.0200595516957795,-0.0200595516957795,-0.0200595516957795,1.0,1.0,add,add_risk,risk_add,real_failure_add,real_failure_event_mining,historical_55_2019-10-02_failure_add,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,premature_add,premature_add,premature_add,nikkei_continuation_head_v1,0.0,True,0.0,True,0.0,True,True,historical_55_2019-10-02,True,add,prototype_add_failure,1d
2020-03-18,16726.55078125,0.287011,range,-0.01675208,-0.04041638,-0.13851985,-0.20727475,-0.27883528,-0.19617727,-0.25640649,-0.24254283,0.01864413,-0.00395319,2.20544308,0.0,0.0,0.0,0.0,1.0,-0.29739742,0.02122301,0.02122301,0.15326821,-0.02202249,1.0,0.0,0.0,20.0,7.0,0.0,0.0,0.83423218,0.3678756,0.04013046,2.18606272,0.0,1.0,0.0,2020-03-18,-0.0103859250721753,0.0816545410940923,0.1158666155070355,-0.0103859250721753,-0.0103859250721753,-0.0103859250721753,1.0,1.0,add,add_risk,risk_add,real_failure_add,real_failure_event_mining,historical_55_2020-03-18_failure_add,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,premature_add,correct_add,correct_add,nikkei_continuation_head_v1,0.0,True,1.0,True,1.0,True,True,historical_55_2020-03-18,True,add,prototype_add_failure,1d
2020-04-01,18065.41015625,0.303023,bear,-0.04501767,-0.06828564,-0.07577882,0.06195098,-0.1431181,-0.04190235,-0.16011207,-0.17740271,-0.02058683,-0.01012682,1.1101978,0.0,0.0,0.0,0.0,1.0,-0.16825075,0.10436483,0.10436483,0.11780963,-0.02318852,1.0,0.0,0.0,8.0,0.0,0.0,0.0,0.21782223,0.0,0.09088747,1.10053417,0.0,0.0,1.0,2020-04-01,-0.0136553474843,0.0282800457106284,0.0712870655574047,-0.0136553474843,-0.0136553474843,-0.0136553474843,1.0,1.0,add,add_risk,risk_add,real_failure_add,real_failure_event_mining,historical_55_2020-04-01_failure_add,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,premature_add,correct_add,correct_add,nikkei_continuation_head_v1,0.0,True,1.0,True,1.0,True,True,historical_55_2020-04-01,True,add,prototype_add_failure,1d
2020-04-15,19550.08984375,0.319958,bear,-0.00451762,0.00264584,0.0101714,0.08218356,0.14922589,0.05967084,-0.04820944,-0.10530961,-0.05999237,-0.01142914,0.93071559,0.0,0.0,0.0,0.0,1.0,-0.00791132,0.19512546,0.19512546,0.04518442,-0.03538806,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.08740528,0.0,0.29285596,0.87944411,0.0,0.0,1.0,2020-04-15,-0.0132935770156107,0.0060884271029606,-0.0210812650117696,-0.0132935770156107,-0.0132935770156107,-0.0210812650117696,1.0,1.0,add,add_risk,risk_add,real_failure_add,real_failure_event_mining,historical_55_2020-04-15_failure_add,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,premature_add,acceptable_add,premature_add,nikkei_continuation_head_v1,0.0,True,1.0,True,0.0,True,True,historical_55_2020-04-15,True,add,prototype_add_failure,1d
2021-05-18,28406.83984375,0.604064,bull,0.02091692,0.03493259,-0.00705208,-0.02227341,-0.04098953,-0.01834801,-0.02813679,0.07652916,0.10769617,0.02514584,1.01868267,0.0,0.0,0.0,0.0,0.0,-0.04700649,0.03731274,0.03731274,0.03641591,-0.02058937,1.0,2.0,2.0,0.0,0.0,0.04967713,0.04967713,0.0,0.0,0.90179603,1.13676563,1.0,0.0,0.0,2021-05-18,-0.0127571608455324,-0.003133392032327,0.0051797604312671,-0.0127571608455324,-0.0127571608455324,-0.0127571608455324,1.0,1.0,add,add_risk,risk_add,real_failure_add,real_failure_event_mining,historical_55_2021-05-18_failure_add,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,premature_add,acceptable_add,acceptable_add,nikkei_continuation_head_v1,0.0,True,1.0,True,1.0,True,True,historical_55_2021-05-18,True,add,prototype_add_failure,1d
2021-08-13,27977.15039062,0.244048,range,-0.00135174,0.00319132,0.00898118,0.00700913,-0.02580555,0.00424507,-0.01603582,-0.00062339,0.01566361,0.01614851,0.9416662,0.0,0.0,0.0,0.0,1.0,-0.03033241,0.02583776,0.02583776,0.08595191,-0.03654196,1.0,1.0,1.0,5.0,1.0,0.02005584,0.02005584,0.36354673,0.03021131,0.6247406,1.0998893,0.0,1.0,0.0,2021-08-13,-0.0162261320814217,-0.0139842774874303,-0.0344531296848292,-0.0162261320814217,-0.019754681223192,-0.0344531296848292,1.0,1.0,add,add_risk,risk_add,real_failure_add,real_failure_event_mining,historical_55_2021-08-13_failure_add,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,premature_add,premature_add,premature_add,nikkei_continuation_head_v1,0.0,True,0.0,True,0.0,True,True,historical_55_2021-08-13,True,add,prototype_add_failure,1d
2022-03-10,25690.40039062,0.195498,bear,0.03935956,0.01859493,-0.03336946,-0.0107975,-0.05842577,-0.0327147,-0.06302936,-0.09484597,-0.03395689,-0.0083106,1.34012153,0.0,0.0,0.0,0.0,1.0,-0.07855968,0.04086665,0.04086665,0.05042352,-0.02817786,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.23174003,1.44844667,0.0,0.0,1.0,2022-03-10,-0.0205376749960131,-0.0133870985520168,0.0374649760122625,-0.0205376749960131,-0.0205376749960131,-0.0205376749960131,1.0,1.0,add,add_risk,risk_add,real_failure_add,real_failure_event_mining,historical_55_2022-03-10_failure_add,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,premature_add,premature_add,correct_add,nikkei_continuation_head_v1,0.0,True,0.0,True,1.0,True,True,historical_55_2022-03-10,True,add,prototype_add_failure,1d
2022-06-29,26804.59960938,0.203944,bear,-0.00905271,0.01180089,0.0250501,0.01817354,-0.02379247,-0.00702925,-0.00188434,-0.03820229,-0.03638652,-0.00262832,1.36073039,0.0,0.0,0.0,0.0,1.0,-0.05583531,0.05032749,0.05032749,0.03771296,-0.03592106,1.0,0.0,0.0,19.0,0.0,0.0,0.0,0.60214315,0.0,0.38209701,1.39159389,0.0,0.0,1.0,2022-06-29,-0.0153541016421665,-0.0242790070355037,-0.0260011053668605,-0.0153541016421665,-0.0324190803602194,-0.0324190803602194,1.0,1.0,add,add_risk,risk_add,real_failure_add,real_failure_event_mining,historical_55_2022-06-29_failure_add,True,,,,,,,volume_down_day,broad_volume_down_risk,tighten_risk,0.60214315,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,premature_add,premature_add,premature_add,nikkei_continuation_head_v1,0.0,True,0.0,True,0.0,True,True,historical_55_2022-06-29,True,add,prototype_add_failure,1d
2022-06-30,26393.0390625,0.201444,bear,-0.0153541,-0.01779709,0.00847453,-0.00144375,-0.03723814,-0.02109089,-0.01694052,-0.05267429,-0.03634955,-0.00291696,1.15302205,0.0,0.0,0.0,0.0,1.0,-0.07033211,0.03420065,0.03420065,0.05337019,-0.02088767,1.0,0.0,0.0,19.0,2.0,0.0,0.0,0.61870898,0.1301149,0.3533537,1.32209579,0.0,0.0,1.0,2022-06-30,-0.0173310819112875,0.0011530176781815,0.0036937858557757,-0.0173310819112875,-0.0173310819112875,-0.0173310819112875,1.0,1.0,add,add_risk,risk_add,real_failure_add,real_failure_event_mining,historical_55_2022-06-30_failure_add,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,premature_add,acceptable_add,acceptable_add,nikkei_continuation_head_v1,0.0,True,1.0,True,1.0,True,True,historical_55_2022-06-30,True,add,prototype_add_failure,1d
2022-07-05,26423.47070312,0.201629,bear,0.01031055,0.00115302,-0.02314278,0.00674991,-0.05441173,-0.01151352,-0.01404759,-0.049839,-0.03630135,-0.00468461,0.83077941,0.0,0.0,0.0,0.0,1.0,-0.06926018,0.03539311,0.03539311,0.04989616,-0.01408904,1.0,0.0,0.0,2.0,0.0,0.0,0.0,0.03235383,0.0,0.36955018,0.87055237,0.0,0.0,1.0,2022-07-05,-0.0119522645623805,0.0035467993986473,-0.0032853574704609,-0.0119522645623805,-0.0119522645623805,-0.0119522645623805,1.0,1.0,add,add_risk,risk_add,real_failure_add,real_failure_event_mining,historical_55_2022-07-05_failure_add,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,premature_add,acceptable_add,acceptable_add,nikkei_continuation_head_v1,0.0,True,1.0,True,1.0,True,True,historical_55_2022-07-05,True,add,prototype_add_failure,1d
2022-07-11,26812.30078125,0.203991,bear,0.01112906,0.02699019,0.0251776,-0.00219449,-0.00648964,0.01578173,0.00265198,-0.03316619,-0.03572343,-0.00757253,0.90001314,0.0,0.0,0.0,0.0,1.0,-0.02106662,0.05062926,0.05062926,0.04429535,-0.01991703,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.1144208,0.0,0.35320972,0.88504686,0.0,0.0,1.0,2022-07-11,-0.0177396422962933,-0.0062997262945864,0.005571282653761,-0.0177396422962933,-0.0177396422962933,-0.0177396422962933,1.0,1.0,add,add_risk,risk_add,real_failure_add,real_failure_event_mining,historical_55_2022-07-11_failure_add,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,premature_add,inconclusive,acceptable_add,nikkei_continuation_head_v1,0.0,True,,True,1.0,True,True,historical_55_2022-07-11,True,add,prototype_add_failure,1d
2023-01-12,26449.8203125,0.201789,range,0.00014446,0.018325,0.02850118,0.00166445,-0.05001412,-0.00934071,-0.03394521,-0.03040705,0.00366249,0.00221064,1.0724234,0.0,0.0,0.0,0.0,1.0,-0.06191972,0.03070427,0.03070427,0.04289365,-0.02653026,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.01254683,0.0,0.57366746,0.8368847,0.0,1.0,0.0,2023-01-12,-0.0124878270380499,-0.0117634305762356,-0.0016858278515006,-0.0124878270380499,-0.0237241687310612,-0.0237241687310612,1.0,1.0,add,add_risk,risk_add,real_failure_add,real_failure_event_mining,historical_55_2023-01-12_failure_add,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,premature_add,premature_add,acceptable_add,nikkei_continuation_head_v1,0.0,True,0.0,True,1.0,True,True,historical_55_2023-01-12,True,add,prototype_add_failure,1d
2023-03-17,27333.7890625,0.74623,range,0.01196492,0.00410513,-0.02878704,-0.02125798,-0.01309375,-0.01257565,0.00330403,-0.00088752,-0.00417775,0.00396727,1.36144147,0.0,0.0,0.0,0.0,1.0,-0.04875623,0.0263159,0.06515102,0.04320624,-0.01419924,1.0,1.0,1.0,4.0,0.0,0.16661606,0.16661606,0.13997302,0.0,0.62911329,1.44391349,0.0,1.0,0.0,2023-03-17,-0.0141992440101351,0.0031397151819592,0.005234549728647,-0.0141992440101351,-0.0141992440101351,-0.0141992440101351,1.0,1.0,add,add_risk,risk_add,real_failure_add,real_failure_event_mining,historical_55_2023-03-17_failure_add,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,premature_add,acceptable_add,acceptable_add,nikkei_continuation_head_v1,0.0,True,1.0,True,1.0,True,True,historical_55_2023-03-17,True,add,prototype_add_failure,1d
